Date,Product,Lot,MDL,MDA,MDB,TDL,TDA,TDB,STR,Metal
10/18/2021,BK012,26180,-0.1,-0.08,-0.16,0.09,0.01,0.09,99.36,260
10/18/2021,BK012,26181,-0.11,-0.07,-0.11,0.21,0.02,0.05,98.6,260
10/18/2021,BK012,26562,-0.1,0,-0.11,-0.17,0.06,-0.22,101.14,240
10/19/2021,BK012,26563,-0.07,0,-0.07,-0.04,0.02,-0.08,100.27,240
10/19/2021,BK012,26564,-0.05,-0.05,-0.16,0.23,-0.01,-0.06,98.53,250
10/19/2021,BK012,26565,-0.19,-0.04,-0.09,-0.37,0.03,-0.1,102.51,260
10/20/2021,BK012,26566,-0.03,0,-0.05,0.09,0.02,-0.07,99.35,240
12/5/2021,BK012,26567,-0.11,-0.08,-0.27,-0.25,0.06,0.04,101.56,240
3/7/2022,BK012,26568,-0.04,0.02,-0.05,-0.39,0.09,-0.09,102.4,280
10/19/2021,BK012,27392,-0.17,-0.09,-0.1,-0.67,0.05,-0.12,104.57,270
10/19/2021,BK012,27393,0.05,-0.09,-0.14,-0.25,0.03,0.1,101.55,280
10/19/2021,BK012,27426,0,-0.13,-0.22,-0.3,0.02,0.1,101.98,290
10/19/2021,BK012,27427,-0.05,-0.09,-0.09,-0.17,0.04,0.1,101.05,260
2/19/2022,BK012,27428,0.07,-0.02,-0.01,-0.41,0.04,0.02,102.68,240
10/21/2021,BK012,27567,-0.01,-0.02,-0.05,-0.04,0.04,-0.01,100.23,250
10/21/2021,BK012,27568,-0.04,-0.02,-0.07,0.13,0.02,-0.03,99.07,240
10/21/2021,BK012,27569,-0.02,-0.05,-0.08,0.06,0.02,0,99.55,260
2/20/2022,BK012,27720,-0.03,-0.04,-0.13,0.21,0.04,0,98.5,260
3/6/2022,BK012,27769,-0.08,0.02,-0.03,1.2,0.02,-0.19,92.4,250
3/4/2022,BK012,27952,-0.18,0.08,0.04,2.42,-0.02,-0.34,85.36,260
12/7/2021,BK012,28857,0.07,-0.09,-0.12,-1.04,0.04,-0.11,107.24,250
12/8/2021,BK012,28858,-0.02,-0.05,-0.1,0.27,0.02,-0.03,97.82,230
11/29/2021,BK012,29291,0.08,-0.02,0.03,-0.33,0.06,-0.04,102.16,230
11/29/2021,BK012,29293,0.03,-0.08,-0.11,-0.51,0.05,0.11,103.35,230
12/11/2021,BK012,29294,0.01,-0.04,0,0.52,0.03,0.08,96.48,240
12/3/2021,BK012,29295,0.02,-0.06,-0.05,-0.18,0.06,0.04,101.13,250
12/11/2021,BK012,29296,0.13,-0.09,0,-0.14,0.05,-0.01,100.9,240
12/4/2021,BK012,29297,0,-0.11,-0.11,-0.29,0.03,0.06,101.92,190
12/4/2021,BK012,29877,-0.01,-0.09,-0.07,-0.12,0.03,0,100.77,210
12/11/2021,BK012,29878,0.1,-0.05,-0.02,-0.17,0.03,-0.11,101.25,210
12/7/2021,BK012,29879,0,-0.05,0.01,0.22,0.02,-0.04,98.61,230
12/12/2021,BK012,29880,0.07,-0.04,-0.05,0.35,0.07,0.24,97.38,250
12/12/2021,BK012,29881,0.13,-0.05,-0.05,0.24,0.06,0.21,98.16,220
12/15/2021,BK012,29882,0,-0.05,0.01,-0.24,0.06,-0.01,101.51,230
12/17/2021,BK012,29883,0.09,-0.07,-0.01,-0.73,0.05,-0.17,105.06,240
1/18/2022,BK012,29884,0.19,-0.12,-0.02,-0.58,0.05,0.05,103.91,200
12/16/2021,BK012,31001,-0.02,-0.08,-0.12,-0.36,0.05,0.03,102.38,220
12/18/2021,BK012,31002,-0.05,-0.07,-0.06,0.28,0.03,0.08,98.06,230
1/20/2022,BK012,31478,0.08,-0.04,-0.06,0.03,0.05,-0.09,99.8,200
1/11/2022,BK012,31479,0.07,0,0.09,0.06,0.02,-0.32,99.82,210
2/7/2022,BK012,31480,0.14,-0.06,-0.12,-0.17,0.05,-0.04,101.02,260
