Date,Product,Lot,MDL,MDA,MDB,TDL,TDA,TDB,STR,NiTi
9/1/2020,YL001,67091,0.5,-0.3,0.1,0.1,-0.1,-0.2,98,0.3
8/30/2020,YL001,67092,-0.2,0.3,-0.2,-0.1,0.2,-0.4,98,0.3
9/2/2020,YL001,67339,0.8,-0.1,-1.7,0.1,0,0.2,102,0.3
9/16/2020,YL001,67489,-0.6,0.5,-1.8,-0.4,0.3,-0.4,102,0.3
10/8/2020,YL001,67490,-1.7,0.7,0.4,-0.3,0.4,-1,95,0.3
11/9/2020,YL001,67754,-2.6,1.3,2.7,-0.3,0.5,-0.9,93,0.3
11/18/2020,YL001,67755,-1.1,0.4,0.7,-0.1,0.2,-0.6,96,0.3
11/18/2020,YL001,67908,-3.7,1.6,5,-0.3,0.7,-1.6,87,0.3
11/18/2020,YL001,68022,-2.4,1.2,3.2,-0.1,0.4,-1,90,0.3
11/19/2020,YL001,68023,-2.6,1.2,4.7,-0.1,0.5,-1.2,89,0.3
11/20/2020,YL001,68024,-2.2,1.1,1.8,-0.2,0.4,-0.9,93,0.3
1/26/2021,YL001,68448,-3.2,1.5,3.1,-0.2,0.7,-2.1,83,0.3
11/20/2020,YL001,5645,-0.2,0,0.1,-0.1,0,-0.1,101,0.3
12/2/2020,YL001,5646,-0.1,-0.1,0,0,0,-0.3,98,0.3
11/26/2020,YL001,5647,-1,0.4,0.1,-0.3,0.2,-0.4,99,0.3
12/2/2020,YL001,5648,0.2,-0.1,-0.9,0,0,-0.1,100,0.3
12/2/2020,YL001,5649,-0.6,0.2,0.2,-0.1,0.1,-0.5,97,0.3
12/14/2020,YL001,6171,-0.4,0,1.2,0,-0.1,0.1,100,0.3
12/8/2020,YL001,6642,0.8,-0.5,-1.4,0.1,-0.2,0.2,103,0.3
12/26/2020,YL001,6643,0.1,-0.1,-0.1,-0.1,0,0.1,101,0.3
12/14/2020,YL001,6644,-4.2,3.1,3.3,-0.4,1,-1.2,89,0.3
1/5/2020,YL001,7701,0.7,-0.4,-2.1,0,-0.1,0,103,0.3
1/7/2021,YL001,7702,-0.3,0,0.8,0.1,0,-0.3,97,0.3
1/12/2021,YL001,8027,-0.3,0.1,0.9,0,0.1,-0.4,97,0.3
1/12/2021,YL001,8028,0.5,-0.3,-0.3,0,0,0,100,0.3
