Date,Product,Lot,MDL,MDA,MDB,TDL,TDA,TDB,STR
12/17/2021,YL056,30861,0.1,0,0,-0.2,0.4,0.2,102
12/18/2021,YL056,31307,0,0.1,-0.2,-0.1,0.1,0.2,102
12/19/2021,YL056,31308,0.1,0.1,-0.1,-0.1,0.2,0.2,101
12/19/2021,YL056,31309,-0.7,0.4,-0.1,-0.2,0.3,0.1,102
12/20/2021,YL056,31310,0.2,0,0,-0.2,0.2,0.1,102
12/21/2021,YL056,31311,0.2,0,0,-0.1,0.1,0.2,101
12/21/2021,YL056,31312,0.1,0.2,0.1,-0.2,0.2,0.2,102
12/31/2021,YL056,31646,-0.1,0.2,-0.1,-0.1,0.1,-0.1,101
12/31/2021,YL056,31647,0.2,0,-0.3,0,0.1,0.1,101
1/6/2022,YL056,32235,-0.2,0.4,-0.1,-0.1,0.2,-0.2,100
1/8/2022,YL056,32236,-0.2,0.4,0.1,-0.1,0.3,-0.1,100
1/8/2022,YL056,32237,-0.1,0.1,-0.2,-0.2,0.2,0.1,102
1/10/2022,YL056,32238,-0.9,0.9,0,-0.4,0.5,-0.3,102
1/10/2022,YL056,32327,0.2,-0.1,-0.3,-0.1,0.2,0.1,101
1/10/2022,YL056,32239,-0.6,0.5,-0.1,-0.5,0.4,-0.1,103
