Date,Product,Lot,MDL,MDA,MDB,TDL,TDA,TDB,STR
10/21/2020,YL036,3733,-0.4,0.3,0,0.1,0,-0.9,96
10/21/2020,YL036,3734,-0.3,0.4,0.1,0,0.2,0,100
10/21/2020,YL036,3735,-0.3,0.3,-0.1,-0.2,0.1,-0.2,101
10/20/2020,YL036,3736,-0.6,0.7,0.2,0.1,0.2,-0.4,98
10/21/2020,YL036,4003,0.1,-0.6,-0.6,-0.3,-0.1,0.9,106
10/23/2020,YL036,4004,0,0,-0.1,-0.1,0,0.1,101
10/21/2020,YL036,4005,0.3,-0.2,0,0.1,0,0.5,101
10/23/2020,YL036,4006,-0.2,0.3,0.3,-0.1,-0.1,0.7,104
11/2/2020,YL036,4578,-0.7,0.6,0,0,0.2,-0.6,98
11/3/2020,YL036,4579,-0.2,0.4,0.2,-0.3,0.4,-0.2,102
11/6/2020,YL036,4945,-0.4,0.3,-0.2,-0.2,0.1,-0.5,100
11/6/2020,YL036,4946,-0.5,0.4,-0.2,-0.3,0.2,-0.3,102
11/6/2020,YL036,4947,-0.5,0.5,-0.2,-0.1,0.1,-0.6,99
11/6/2020,YL036,4948,-0.3,0.3,0,-0.7,-0.6,0.4,108
11/22/2020,YL036,5951,-0.3,0.4,0.2,-0.2,0.3,0,102
11/23/2020,YL036,5952,-0.4,-0.5,-1,-0.1,-0.4,-0.3,100
11/23/2020,YL036,5957,0,0.1,-0.1,-0.5,0.4,1.4,109
11/23/2020,YL036,5958,-0.3,0.3,-0.1,-0.5,0.4,0.8,107
12/7/2020,YL036,6636,0.1,-0.2,-0.2,-0.1,0,-0.1,101
12/7/2020,YL036,6637,0.3,-0.4,-0.4,-0.5,0.3,1.1,108
12/7/2020,YL036,6638,0.3,-0.4,-0.7,-0.8,0.5,1.6,113
12/7/2020,YL036,6639,0.3,-0.3,-0.4,-0.4,0.3,1.1,107
12/20/2020,YL036,7168,-0.4,0.4,-0.1,-0.1,0.2,-0.3,100
12/21/2020,YL036,7169,-0.4,0.3,-0.1,-0.1,0.1,-0.1,101
12/29/2020,YL036,7170,-0.4,0.3,-0.1,-0.1,0.1,-0.2,105
12/14/2020,YL036,7171,-0.4,0.4,0,-0.3,0.3,0.2,104
12/30/2020,YL036,7473,-0.3,0.1,-0.1,-0.2,0,-0.5,101
12/31/2020,YL036,7474,-0.3,0.1,-0.1,-0.2,0.1,-0.5,101
12/31/2020,YL036,7475,-0.5,0.3,0.1,-0.1,0,-0.7,98
1/1/2021,YL036,7476,-0.1,0,0,-0.1,0,-0.1,101
1/8/2021,YL036,8261,-0.1,0,-0.1,-0.1,0.1,0,101
1/8/2021,YL036,8262,-0.2,0.2,0,-0.2,0.2,0,102
1/8/2021,YL036,8263,-0.3,0.1,-0.3,-0.2,0.1,-0.3,100
1/8/2021,YL036,8264,-0.2,0.2,0,-0.2,0.2,0,102
3/28/2021,YL036,8265,-0.4,0.3,0,0.3,0,-0.8,95
1/9/2021,YL036,8266,-0.6,0.6,0.3,-0.3,0.3,-0.1,102
1/9/2021,YL036,8267,-0.7,0.5,0.1,0.2,0,-1.6,93
1/9/2021,YL036,8268,-0.4,0.3,0,-0.2,0.1,-0.9,99
1/15/2021,YL036,8434,-0.4,0.3,0,-0.1,0.1,-0.5,99
1/16/2021,YL036,8435,0.2,-0.3,-0.1,-0.2,0.1,-0.6,100
1/17/2021,YL036,8436,-0.1,-0.1,-0.2,-0.3,0.1,-0.2,102
1/15/2021,YL036,8437,-0.3,0.2,0.1,0,0,-0.5,98
1/17/2021,YL036,8608,-0.1,0,0,-0.2,0,-0.3,101
1/16/2021,YL036,8609,-0.2,0,0,-0.3,0.1,0.3,104
1/18/2021,YL036,9017,0.1,-0.4,-0.3,-0.3,-0.1,0.3,103
1/18/2021,YL036,9018,0.1,-0.1,-0.3,-0.2,-0.2,-0.3,101
1/19/2021,YL036,9019,-0.5,0.2,-0.3,-0.4,0.2,-0.7,102
1/19/2021,YL036,9020,-0.3,0.1,-0.5,-0.2,0,-0.7,99
1/20/2021,YL036,9021,-0.3,0,-0.7,-0.3,0.1,-0.6,101
1/21/2021,YL036,9022,-0.2,0.1,-0.6,-0.2,0,-0.2,101
1/26/2021,YL036,9523,-0.1,0,-0.1,-0.1,-0.1,-0.3,100
1/27/2021,YL036,9524,0,-0.1,-0.3,-0.3,0.1,0.7,105
1/27/2021,YL036,9525,-0.1,-0.2,-0.5,-0.4,0.1,0.8,106
1/27/2021,YL036,9526,-0.3,0.2,-0.1,0,-0.1,-0.3,99
1/28/2021,YL036,9527,0.4,-0.6,-0.7,-0.3,0,1,106
1/28/2021,YL036,9528,-0.2,0.1,-0.4,-0.1,0,-0.1,100
2/11/2021,YL036,9868,-0.3,0,-0.4,-0.2,0,-0.2,101
2/12/2021,YL036,9869,-0.2,0.2,0,-0.1,0.1,-0.1,101
2/12/2021,YL036,10384,-0.3,0,-0.3,-0.3,0,0.2,104
2/23/2021,YL036,10385,-0.4,0.1,-0.3,-0.1,-0.1,-0.5,99
2/23/2021,YL036,10386,-0.2,0.1,-0.1,-0.2,-0.1,-0.3,100
2/23/2021,YL036,10387,0.2,-0.1,-0.1,-0.1,0,0.3,102
2/28/2021,YL036,11582,-1.1,0.8,0.1,0.1,0.1,-1.7,94
2/28/2021,YL036,11583,-1.2,0.8,-0.1,-0.3,0.2,-1.3,99
2/28/2021,YL036,11584,-0.6,0.5,0.2,-0.2,0.2,-0.5,101
