Date,Product,Lot,MDL,MDA,MDB,TDL,TDA,TDB,STR,325MSH
7/20/2020,BR040,66179,-0.4,-0.2,-0.5,-0.3,0,-0.3,102,0.01
7/26/2020,BR040,66180,-0.9,-0.2,-0.5,0.3,-0.3,-0.6,98,0.01
7/30/2020,BR040,66181,-0.3,-0.1,-0.2,-0.3,0,-0.3,102,0.02
7/30/2020,BR040,66208,-0.1,0,-0.5,-0.1,0,-0.5,100,0.01
7/25/2020,BR040,66288,-0.2,-0.2,-0.5,-0.4,0,-0.4,103,0.02
8/11/2020,BR040,66352,-0.5,-0.2,-0.2,0.5,-0.2,-0.4,96,0.01
8/11/2020,BR040,66353,-0.2,0,0,0.1,-0.1,-0.1,99,0.01
8/15/2020,BR040,66354,-0.6,-0.2,-0.4,-0.2,-0.2,-0.5,101,0.01
8/6/2020,BR040,66355,-0.3,-0.3,-0.5,0.2,-0.1,-0.3,99,0.02
8/11/2020,BR040,66589,0,0,-0.1,-0.4,-0.1,-0.1,103,0.01
8/16/2020,BR040,66590,-0.4,-0.1,-0.1,0.1,-0.2,-0.3,99,0.01
8/19/2020,BR040,66591,-0.1,0,-0.2,0,-0.1,-0.2,100,0.01
8/16/2020,BR040,66592,0.4,0.1,0.1,-0.3,0.2,0.3,103,0.01
8/6/2020,BR040,66604,0.5,-0.2,-0.7,0.8,-0.1,-0.3,94,0.01
8/20/2020,BR040,66735,-0.2,-0.2,-0.4,0.1,-0.2,-0.4,99,0.01
8/22/2020,BR040,66736,-0.6,-0.2,-0.6,0.2,-0.2,-0.5,98,0.06
8/22/2020,BR040,66737,-0.2,0,-0.2,-0.1,0,-0.2,100,0.07
8/25/2020,BR040,66738,-0.8,-0.1,-0.4,-0.5,-0.1,-0.4,103,0.01
8/30/2020,BR040,66901,-1.1,-0.3,-0.5,0,-0.3,-0.6,99,0.04
8/30/2020,BR040,66902,-1.2,-0.2,-0.1,0.1,-0.3,-0.5,99,0.01
8/30/2020,BR040,66903,-1.2,-0.2,-0.1,0,-0.3,-0.5,100,0.01
9/14/2020,BR040,66904,-0.6,-0.2,-0.4,-0.6,0,-0.4,104,0.01
8/19/2020,BR040,67029,-0.5,-0.3,-0.4,0.4,-0.2,-0.3,97,0.01
10/14/2020,BR040,2953,0.1,0.1,0.1,0.4,0,0.2,98,0.01
9/14/2020,BR040,67223,-0.7,-0.1,-0.1,-0.3,-0.2,-0.3,102,0.01
9/14/2020,BR040,67224,0.6,0.1,0.1,0,0.1,0.2,100,0.01
9/14/2020,BR040,67247,0.5,0,0,0.3,-0.1,0.1,98,0.01
9/14/2020,BR040,67248,0.1,-0.1,-0.1,0.8,-0.2,0,95,0.01
9/27/2020,BR040,67249,0.2,0,-0.2,0.6,-0.1,-0.3,95,0.01
9/27/2020,BR040,67250,0.2,0,0,0.8,-0.1,-0.2,94,0.01
9/28/2020,BR040,67554,0,0,-0.3,0.7,-0.1,-0.4,95,0.01
9/28/2020,BR040,67555,-0.1,-0.1,-0.4,0.2,-0.1,-0.4,98,0.01
10/7/2020,BR040,2952,-0.5,-0.2,-0.4,0.3,-0.3,-0.5,97,0.01
10/7/2020,BR040,2955,-0.3,-0.2,-0.4,0.3,-0.2,-0.4,98,0.02
10/7/2020,BR040,2956,-0.2,-0.1,-0.3,0,-0.1,-0.2,100,0.01
10/14/2020,BR040,2975,-0.3,-0.1,-0.2,0.5,-0.2,-0.4,96,0.01
10/12/2020,BR040,2957,0.3,-0.2,-0.2,1.6,-0.4,-0.1,89,0.01
11/11/2020,BR040,3043,-0.1,0,0.1,0,0,-0.1,100,0.01
12/12/2020,BR040,3044,-0.6,-0.1,-0.3,-0.1,-0.1,-0.3,100,0.01
11/5/2020,BR040,3045,-0.6,-0.2,-0.5,-0.2,-0.2,-0.5,101,0.02
10/14/2020,BR040,3046,-0.2,-0.1,-0.3,-0.2,-0.2,-0.4,101,0.01
10/11/2020,BR040,3081,-0.3,-0.1,-0.3,0.1,-0.2,-0.4,99,0.01
10/14/2020,BR040,3082,0.3,0,-0.1,0.3,0,-0.2,98,0.01
11/5/2020,BR040,3083,-0.1,0,-0.2,-0.2,-0.1,-0.2,101,0.02
11/5/2020,BR040,3617,-0.5,-0.2,-0.5,0.2,-0.3,-0.5,98,0.02
11/5/2020,BR040,3618,-0.8,-0.3,-0.5,0.1,-0.5,-0.7,99,0.01
11/5/2020,BR040,3619,0.3,-0.3,-1.3,0.8,-0.3,-0.9,93,0.01
2/23/2021,BR040,3615,0.2,0.1,-0.1,-0.4,0.2,0.2,103,0.05
4/22/2021,BR040,13631,-0.6,-0.2,-0.5,-0.4,-0.2,-0.6,102,0.01
4/22/2021,BR040,13632,-0.7,-0.3,-0.5,0,-0.3,-0.6,99,0.01
4/22/2021,BR040,13633,1.1,0.1,-0.2,0.5,0.1,0.2,97,0.01
4/22/2021,BR040,13630,-0.8,-0.4,-0.6,0,-0.4,-0.7,100,0.01
5/3/2021,BR040,14798,-1,-0.3,-0.5,0.1,-0.4,-0.7,99,0.01
5/5/2021,BR040,14799,-0.9,-0.4,-0.6,0.5,-0.5,-0.8,96,0.01
5/11/2021,BR040,14800,-0.4,-0.3,0,1,-0.5,-0.3,93,0.01
5/16/2021,BR040,14801,-0.6,-0.2,-0.3,0.2,-0.3,-0.5,98,0.03
5/22/2021,BR040,15561,-0.4,-0.3,-0.4,0.4,-0.3,-0.4,97,0.01
5/27/2021,BR040,15560,-0.8,-0.2,-0.3,0.1,-0.3,-0.5,99,0.01
6/13/2021,BR040,16253,0.1,0.1,0.1,-0.2,0.1,0.1,102,0.01
6/13/2021,BR040,16254,-0.5,-0.1,-0.2,-0.5,0,-0.2,103,0.01
6/27/2021,BR040,17286,0.4,0,0.2,0.4,-0.1,0.2,98,0.01
7/12/2021,BR040,18049,0.1,0.1,0.4,-0.1,0,-0.1,101,0.01
5/30/2021,BR040,18094,0.2,0.1,0.1,0.2,0,0,98,0.19
7/12/2021,BR040,18965,0,0.1,-0.1,-0.3,0.1,-0.1,102,0.01
7/12/2021,BR040,18966,-0.1,0.1,0,-0.3,0.1,-0.1,102,0.01
7/20/2021,BR040,18967,-0.5,-0.2,-0.4,-0.3,-0.1,-0.4,102,0.01
7/14/2021,BR040,19390,0.2,0.2,0.5,0.4,0,0.3,98,0.01
7/14/2021,BR040,19391,-0.4,0,-0.1,-0.4,0.1,-0.1,103,0.02
7/20/2021,BR040,19709,-0.1,0,0.3,0.2,-0.1,0.1,99,0.01
8/29/2021,BR040,19710,-0.2,-0.1,0.1,0.5,-0.2,0.1,97,0.01
7/20/2021,BR040,20422,-0.4,-0.1,-0.8,0.3,-0.2,-0.7,97,0.01
7/31/2021,BR040,20598,-0.2,-0.1,-0.2,0.5,-0.2,-0.3,96,0.01
8/10/2021,BR040,20599,0.2,0.1,0,-0.1,0,0,101,0.01
8/10/2021,BR040,21028,0.5,-0.1,-0.2,0.8,-0.2,-0.1,94,0.02
8/10/2021,BR040,21029,0.1,-0.1,0,0.7,-0.2,-0.1,96,0.01
7/31/2021,BR040,21030,0.4,0,-0.2,0.9,-0.1,-0.1,94,0.01
8/10/2021,BR040,21027,0.7,0.1,0.2,0.9,-0.1,0.1,94,0.01
8/26/2021,BR040,21276,-0.2,0,0.1,0.2,0,0.1,99,0.01
8/10/2021,BR040,21277,-0.3,-0.1,-0.1,0.1,-0.2,0.2,99,0.01
10/21/2021,BR040,21298,-0.1,-0.3,-0.5,0.6,-0.4,-0.5,96,0.01
8/18/2021,BR040,22061,1,-0.1,-0.5,0.5,0,0,96,0.01
8/21/2021,BR040,22062,1.6,0.3,1.3,1.8,-0.1,1.2,90,0.02
8/15/2021,BR040,22337,0.3,0,-0.3,-0.1,0,-0.1,100,0.01
8/18/2021,BR040,22338,0.3,0,-0.3,0.1,0.1,0,99,0.01
8/15/2021,BR040,22520,0.3,0.1,0,0.1,0,0,99,0.01
9/17/2021,BR040,22840,0.3,0,-0.1,0.3,0,-0.1,98,0.01
9/24/2021,BR040,22841,0.9,0.2,0,-0.2,0.2,0.2,101,0.01
9/30/2021,BR040,22842,0.3,0,-0.2,0.2,0,-0.1,99,0.01
10/3/2021,BR040,22839,0.7,0,-0.3,0.8,-0.1,0,94,0.01
9/20/2021,BR040,23418,0.7,-0.1,-0.2,0.6,-0.1,0.1,96,0.01
10/6/2021,BR040,23675,0.3,0.2,0.2,0,0.1,0.1,100,0.01
10/6/2021,BR040,23676,0.5,0.1,-0.1,0.3,0,0,98,0.01
10/6/2021,BR040,23677,0.2,0.1,-0.2,-0.1,0.1,0,101,0.01
10/6/2021,BR040,23678,-0.1,-0.1,-0.3,0.2,-0.1,-0.1,98,0.01
9/13/2021,BR040,24181,0.2,0.1,-0.1,0.2,0,-0.1,98,0.01
9/24/2021,BR040,24182,0.5,0.1,-0.2,-0.1,0,-0.1,100,0.01
9/20/2021,BR040,24230,0,-0.1,-0.3,0.3,-0.2,-0.3,97,0.01
9/24/2021,BR040,24231,0.2,-0.1,-0.2,0.2,-0.2,-0.2,99,0.01
9/28/2021,BR040,24829,-0.4,0,-0.3,-0.2,0,-0.2,101,0.01
10/3/2021,BR040,24830,-0.1,0,-0.1,-0.1,0,-0.1,100,0.01
9/28/2021,BR040,24831,-0.5,0,-0.2,-0.3,0,-0.2,102,0.01
9/30/2021,BR040,24828,1.2,0.2,0.7,1.1,-0.1,0.7,94,0.01
10/13/2021,BR040,25319,0.3,0.1,0.1,-0.1,0.1,0.1,101,0.02
10/3/2021,BR040,25320,0.1,0,0,0,0,0.1,100,0.01
9/30/2021,BR040,25321,0.8,-0.1,-0.3,0.7,-0.1,-0.1,95,0.01
10/9/2021,BR040,25548,0.2,-0.1,-0.4,0.3,-0.1,-0.3,98,0.01
10/10/2021,BR040,25549,-0.1,-0.1,-0.2,-0.1,-0.1,-0.3,100,0.02
10/13/2021,BR040,25550,0.1,0,-0.1,0,-0.1,-0.1,100,0.02
10/18/2021,BR040,25547,0.1,-0.1,-0.3,0.1,-0.1,-0.3,99,0.01
10/14/2021,BR040,26234,0.3,-0.1,-0.2,0.1,-0.1,-0.1,99,0.01
10/18/2021,BR040,26235,0.4,0,-0.1,0.1,0,0,99,0.01
10/18/2021,BR040,26447,0.6,0.1,0,0,0.1,0.1,100,0.01
10/18/2021,BR040,26558,0.5,0.1,-0.1,0.1,0.1,0.1,99,0.01
10/18/2021,BR040,26559,0.3,0,-0.2,-0.2,0.1,0,101,0.03
12/30/2021,BR040,29825,0.7,0,-0.2,0.3,-0.1,-0.1,98,0.01
12/23/2021,BR040,29826,1.6,0.1,-0.2,0.8,-0.1,0.2,94,0.01
12/23/2021,BR040,29827,1.8,0.1,-0.2,0.8,0,0.2,95,0.01
12/23/2021,BR040,30464,1.5,0.1,-0.1,0.7,0,0.2,96,0.01
1/6/2022,BR040,31400,1.2,0.2,0.3,0.5,0.2,0.5,97,0.01
2/1/2022,BR040,31401,0.3,0.1,0,0,0.1,0.1,100,0.01
1/28/2022,BR040,31402,0.5,0.1,0.1,0.3,0.1,0.3,99,0.01
2/5/2022,BR040,31403,0.6,0.1,-0.2,0,0.1,0.2,100,0.01
