Date,Product,Lot,MDL,MDA,MDB,TDL,TDA,TDB,STR
2/28/2021,BL008,11626,0.22,2.15,-2.58,0,0.14,-0.38,100.21
2/28/2021,BL008,11627,-0.18,1.01,-0.61,-0.17,0.13,-0.43,101.9
3/1/2021,BL008,11628,-0.05,1.37,-1.16,-0.24,0.13,-0.59,102.51
3/1/2021,BL008,11949,0.06,0.37,-0.12,-0.21,-0.08,-0.43,102.31
3/9/2021,BL008,12212,0.13,0.32,-0.52,-0.26,0.02,-0.42,102.77
3/9/2021,BL008,12325,-0.14,1.09,-0.87,-0.19,0.13,-0.51,101.99
3/17/2021,BL008,12888,0.12,-1.25,1.02,-0.52,-0.21,-0.29,105.18
3/18/2021,BL008,12889,0.26,0.6,-0.84,-0.3,0,-0.56,103.15
3/18/2021,BL008,12890,0.23,1.09,-1.42,-0.08,0.05,-0.4,100.93
3/21/2021,BL008,12891,-0.05,0.52,-0.3,-0.4,0.02,-0.69,104.1
3/21/2021,BL008,12892,-0.16,-0.66,0.94,-0.66,-0.1,-0.54,106.88
3/25/2021,BL008,13354,0.01,-0.87,0.78,-0.37,-0.17,-0.38,103.86
3/26/2021,BL008,13355,0.03,-0.32,0.36,-0.3,-0.15,-0.41,103.31
3/24/2021,BL008,13418,0.02,-0.74,0.62,-0.38,-0.06,-0.12,103.64
3/25/2021,BL008,13419,-0.22,-0.52,0.86,-0.44,-0.03,-0.38,104.3
3/28/2021,BL008,13469,-0.13,0.89,-0.6,-0.26,0.05,-0.49,102.65
3/28/2021,BL008,13470,-0.05,1.15,-0.93,-0.26,0.1,-0.55,102.57
3/29/2021,BL008,13471,0.11,-0.17,-0.05,-0.22,-0.13,-0.33,102.46
3/29/2021,BL008,13472,-0.1,1.37,-1.09,-0.11,0.07,-0.42,101.11
3/29/2021,BL008,13473,0.61,1.84,-2.9,-0.29,0.02,-0.57,103.07
3/31/2021,BL008,13474,-0.09,1.03,-0.79,-0.22,0.12,-0.44,102.12
3/31/2021,BL008,13851,-0.01,1.15,-1.2,-0.23,0.04,-0.61,102.51
3/31/2021,BL008,13852,0.14,1.19,-1.31,-0.29,0.04,-0.69,103.2
4/3/2021,BL008,13853,-0.22,-1.24,1.57,-0.24,-0.18,-0.02,102.41
4/7/2021,BL008,14066,-0.15,-1.11,1.27,-0.32,-0.2,-0.25,103.29
4/4/2021,BL008,14135,-0.25,-0.75,1.23,-0.14,-0.13,-0.19,101.55
4/5/2021,BL008,14136,-0.28,-1.14,1.74,-0.18,-0.19,-0.18,101.97
4/7/2021,BL008,14234,-0.02,-1.23,1.19,-0.34,-0.21,-0.19,103.46
4/12/2021,BL008,14235,-0.43,0.13,0.84,-0.15,-0.03,-0.4,101.51
4/6/2021,BL008,14358,-0.31,-0.86,1.56,-0.42,-0.08,-0.33,104.23
4/7/2021,BL008,14367,-0.43,-1.07,1.81,-0.3,-0.08,-0.08,102.81
4/12/2021,BL008,14637,-0.05,-0.65,0.73,-0.31,-0.12,-0.27,103.19
4/12/2021,BL008,14638,-0.01,-0.25,0.28,-0.38,-0.1,-0.44,103.94
4/14/2021,BL008,14664,-0.08,-0.92,0.98,-0.56,-0.13,-0.46,105.6
4/18/2021,BL008,14906,-0.15,0.38,-0.01,-0.16,0,-0.35,101.69
4/18/2021,BL008,14907,-0.24,-0.91,1.33,-0.42,-0.13,-0.42,104.24
4/19/2021,BL008,14908,-0.11,0.28,0.08,-0.16,-0.05,-0.44,101.78
4/21/2021,BL008,14909,-0.08,1.02,-0.94,-0.26,-0.04,-0.55,102.74
4/18/2021,BL008,14910,-0.21,-0.91,1.29,-0.41,-0.13,-0.41,104.16
4/18/2021,BL008,14911,-0.03,-0.5,0.62,-0.37,-0.12,-0.42,103.85
4/18/2021,BL008,15167,-0.17,-1.06,1.58,-0.44,-0.18,-0.39,104.58
4/27/2021,BL008,15456,-0.13,-0.72,0.93,-0.43,-0.14,-0.43,104.37
4/26/2021,BL008,15457,-0.32,-0.88,1.65,-0.38,-0.1,-0.36,103.86
4/28/2021,BL008,15754,-0.44,-0.79,1.63,-0.02,-0.07,-0.08,100.14
4/28/2021,BL008,15769,-0.05,-2.22,2.32,-0.42,-0.31,-0.1,104.2
5/3/2021,BL008,15770,-0.1,0.19,0.14,-0.17,0.02,-0.34,101.72
5/5/2021,BL008,15940,0.21,-1.44,0.97,-0.13,-0.12,0.13,101.29
5/6/2021,BL008,16007,-0.41,-0.99,1.78,-0.35,-0.15,-0.39,103.72
5/7/2021,BL008,16008,0.07,0.95,-1.05,-0.09,0.05,-0.3,100.97
5/8/2021,BL008,16401,-0.6,-1.72,3.12,-0.35,-0.24,-0.34,103.63
5/25/2021,BL008,17367,-0.13,0.42,-0.13,-0.36,0,-0.63,103.71
5/23/2021,BL008,17524,0.05,0.86,-0.9,0.05,0.09,-0.05,99.46
6/20/2021,BL008,19298,0.14,-0.88,0.37,-0.47,-0.18,-0.33,104.83
6/20/2021,BL008,19299,-0.35,0.5,0.19,-0.03,-0.01,-0.28,100.49
6/21/2021,BL008,19300,-0.01,0.66,-0.75,-0.11,-0.02,-0.31,101.18
6/21/2021,BL008,19301,-0.06,1.04,-0.89,-0.61,0.07,-0.85,106.25
6/22/2021,BL008,19302,-0.16,0.45,-0.14,-0.5,-0.06,-0.76,105.3
6/22/2021,BL008,19303,0.13,1.26,-1.42,-0.21,0.08,-0.37,102.05
6/23/2021,BL008,19462,0.04,0.9,-0.95,-0.2,0.02,-0.45,102.19
6/27/2021,BL008,19464,0.17,0.99,-1.25,-0.14,-0.02,-0.45,101.71
6/28/2021,BL008,19466,0.02,0.96,-0.93,-0.41,0.03,-0.7,104.32
6/27/2021,BL008,19852,-0.03,-0.96,0.99,-0.33,-0.16,-0.13,103.33
6/27/2021,BL008,19853,0.22,-0.68,0.18,-0.43,-0.19,-0.23,104.4
6/30/2021,BL008,20050,-0.06,-1.17,1.18,-0.43,-0.22,-0.27,104.48
6/30/2021,BL008,20053,0.38,-0.54,-0.39,-0.39,-0.2,-0.21,104.04
7/1/2021,BL008,20085,-0.04,-2.23,2.29,-0.25,-0.031,0.14,104.43
7/10/2021,BL008,20214,-0.18,-0.94,1.29,-0.47,-0.24,-0.46,105.12
7/6/2021,BL008,20313,0.09,-0.41,0.11,-0.61,-0.19,-0.62,106.71
7/8/2021,BL008,20314,-0.34,0.76,-0.05,-0.13,0.04,-0.41,101.34
7/9/2021,BL008,20315,-0.44,0.6,0.13,-0.09,0.05,-0.34,101.2
7/7/2021,BL008,20316,0.17,2.56,-2.72,-0.3,0.12,-0.89,103.23
7/12/2021,BL008,20432,0,-0.76,0.68,-0.48,-0.22,-0.49,105.06
7/14/2021,BL008,20433,-0.04,0.97,-0.86,-0.28,0.03,-0.62,102.98
7/23/2021,BL008,20434,0,-0.49,0.3,-0.45,-0.17,-0.45,104.69
7/17/2021,BL008,20436,0.34,1.29,-1.94,-0.39,0,-0.73,104.08
7/10/2021,BL008,20505,-0.25,-0.14,0.62,0.1,-0.04,0.17,99.09
7/19/2021,BL008,21037,-0.28,0.25,0.37,-0.05,0.06,-0.15,100.44
7/27/2021,BL008,21038,-0.26,-0.85,1.1,-0.14,-0.13,-0.04,101.45
7/27/2021,BL008,21641,-0.19,-0.66,0.88,-0.32,-0.12,-0.31,103.33
7/27/2021,BL008,21643,-0.13,-0.66,0.81,-0.46,-0.13,-0.46,104.76
8/1/2021,BL008,22157,-0.45,-1.2,1.99,-0.25,-0.18,-0.17,102.58
8/13/2021,BL008,22521,0.05,-1.81,1.54,-0.46,-0.28,-0.14,104.7
9/27/2021,BL008,22523,-0.07,0.62,-0.52,-0.34,0.01,-0.56,103.5
8/14/2021,BL008,22524,-0.18,0.46,-0.1,-0.08,0.02,-0.27,100.89
8/15/2021,BL008,22831,0.04,1.23,-1.31,-0.06,0.07,-0.3,100.65
8/19/2021,BL008,22832,-0.4,0.85,0.04,0.02,0.1,-0.29,99.92
8/19/2021,BL008,22833,0.07,1.08,-1.15,-0.03,0.05,-0.22,100.35
8/18/2021,BL008,22834,0.24,1.47,-1.98,-0.07,0.07,-0.26,100.86
8/20/2021,BL008,23184,-0.14,-0.86,1.04,-0.31,-0.13,-0.24,103.12
8/21/2021,BL008,23185,-0.08,0.73,-0.48,-0.2,0.04,-0.36,101.98
8/25/2021,BL008,23228,-0.1,0.51,-0.21,-0.1,0.04,-0.25,101.11
8/27/2021,BL008,23229,-0.27,0.42,0.22,0.01,0.04,-0.16,99.93
8/28/2021,BL008,23230,0.56,-1.05,-0.26,-0.09,-0.16,-0.03,101.01
8/21/2021,BL008,23324,0.03,-2.38,2.22,-0.74,-0.37,-0.39,107.81
8/29/2021,BL008,23896,0.4,0.94,-1.63,-0.04,0.05,-0.31,100.57
8/29/2021,BL008,23897,0.29,0.92,-1.49,-0.08,0.1,-0.33,100.85
8/29/2021,BL008,23898,0.1,0,-0.25,-0.11,0.04,-0.14,101.08
