Date,Product,Lot,Process,Equip,Equip Step,Mass dL*,Mass da*,Mass db*,Mass dE*,Tint dL*,Tint da*,Tint db*,Tint dE*,% Str,Mass SL CIE K,Mass SA CIE K,Mass SB CIE K,Tint SL CIE K,Tint SA CIE K,Tint SB CIE K
8/25/2021,YL1,3979,P2,GR084,182,-1.26,1.46,0.77,2.07,-0.03,0.49,-2.55,2.6,90.6,68.85,20.42,57.08,85.99,7.62,30.24
8/25/2021,YL1,3979,P2,GR084,202,-0.1,0.29,0.26,0.4,-0.07,0.07,-1.15,1.15,96.4,68.78,20.42,56.97,85.93,7.6,30.37
8/29/2021,YL1,3980,P2,GR084,90,-1.05,1.25,0.96,1.9,-0.18,0.13,-2.39,2.4,92.6,68.58,20.66,56.95,85.89,7.55,29.89
8/29/2021,YL1,3980,P2,GR084,115,-1.53,1.59,0.75,2.33,-0.1,0.23,-3.01,3.02,89.8,68.53,20.67,56.91,85.88,7.59,29.91
8/29/2021,YL1,3980,P2,GR084,115,-1.47,1.58,0.81,2.3,-0.14,0.49,-2.69,2.73,91.1,68.6,20.61,56.96,85.97,7.61,29.88
8/30/2021,YL1,3980,P2,GR084,135,-0.61,0.81,0.7,1.23,-0.03,0.34,-1.64,1.67,94.1,68.6,20.64,57.06,85.98,7.62,29.93
7/15/2021,YL1,4101,P2,GR084,40,-4.28,3.64,-0.34,5.63,1.44,-0.56,-7.66,7.82,64.7,69.28,20.06,57.7,85.89,7.68,30.28
7/16/2021,YL1,4101,P2,GR084,100,-2.45,2.2,-0.28,3.3,0,0.47,-3.95,3.98,85.7,68.92,20.31,57.61,85.9,7.56,30.33
7/16/2021,YL1,4101,P2,GR084,160,-2.08,1.95,-0.16,2.85,0.18,0.4,-2.82,2.85,88.2,69.22,20.09,57.61,85.75,7.65,30.08
7/17/2021,YL1,4101,P2,GR084,185,-1.67,1.59,-0.14,2.31,0.02,0.45,-2.92,2.95,89.1,68.95,20.3,57.58,85.9,7.62,30.38
7/17/2021,YL1,4101,P2,GR084,215,-1.74,1.48,-0.47,2.33,0.03,0.22,-2.59,2.6,90.2,69.3,20.06,57.79,85.94,7.59,30.24
7/17/2021,YL1,4101,P2,GR084,245,-0.87,1.08,0,1.38,-0.02,0.17,-2.21,2.22,92,68.74,20.27,57.61,85.93,7.53,30.33
7/20/2021,YL1,4209,P2,GR084,62,-3.83,3.42,-0.04,5.14,-0.04,0.37,-5.25,5.26,82,69.32,20.06,57.77,85.84,7.57,30.26
7/20/2021,YL1,4209,P2,GR084,122,-2.12,2.11,0.38,3.02,-0.05,0.45,-3.73,3.76,86.8,68.89,20.28,57.43,85.91,7.59,30.33
7/21/2021,YL1,4209,P2,GR084,162,-2.05,2.01,0.16,2.88,0.01,0.88,-2.87,3,89.1,69.22,20.09,57.67,85.79,7.26,30.26
7/21/2021,YL1,4209,P2,GR084,202,-1.51,1.58,0.17,2.19,0.06,0.59,-2.61,2.68,89.7,69.18,20.16,57.73,85.84,7.53,30.45
7/21/2021,YL1,4209,P2,GR084,232,-1.49,1.48,-0.1,2.11,-0.21,0.15,-2.52,2.53,92.4,69.21,20.11,57.73,85.81,7.42,30.34
7/22/2021,YL1,4209,P2,GR084,262,-1.1,1.09,-0.13,1.56,-0.03,0.35,-2.01,2.04,92.7,69.25,20.11,57.73,85.89,7.67,30.49
8/31/2021,YL1,7033,P2,GR084,30,-0.75,1.18,1.23,1.86,-0.11,0.14,-2.05,2.06,93.2,68.57,20.54,56.77,85.9,7.56,29.98
9/1/2021,YL1,7033,P2,GR084,50,-0.34,0.59,0.72,0.99,-0.18,0.07,-1.34,1.35,96.5,68.64,20.59,56.89,85.95,7.6,29.98
9/2/2021,YL1,7033,P2,GR084,70,0.15,0.08,0.45,0.48,-0.08,0.01,-0.8,0.8,97.7,68.68,20.55,56.93,85.84,7.64,30.25
